fecha,jornada,equipo_local,equipo_visitante,goles_local,goles_visitante
,11,Talleres RE,Villa Dalmine,0,2
,11,Ituzaingó,Arsenal de Sarandí,0,0
,11,Argentino Merlo,Excursionistas,1,1
,11,Brown de Adrogué,Real Pilar,1,1
,11,Deportivo Laferrere,UAI Urquiza,0,0
,11,Deportivo Armenio,Liniers,1,0
,11,Argentino Quilmes,San Martín Burzaco,3,0
,11,Sportivo Dock Sud,Deportivo Merlo,1,1
,11,Comunicaciones,Camioneros,1,2
,12,Excursionistas,Arsenal de Sarandí,0,1
,12,UAI Urquiza,Talleres RE,0,2
,12,Sportivo Italiano,Argentino Quilmes,2,1
,12,Real Pilar,Deportivo Laferrere,1,0
,12,San Martín Burzaco,Flandria,0,1
,12,Liniers,Brown de Adrogué,1,0
,12,Sportivo Dock Sud,Ituzaingó,3,0
,12,Villa Dalmine,Argentino Merlo,1,0
,12,Villa San Carlos,Deportivo Armenio,4,1
,12,Camioneros,Defensores Unidos,1,0
,12,Deportivo Merlo,Comunicaciones,2,0
,13,Brown de Adrogué,Villa San Carlos,2,1
,13,Defensores Unidos,Deportivo Merlo,1,1
,13,Argentino Quilmes,Camioneros,0,0
,13,Flandria,Sportivo Italiano,0,0
,13,Argentino Merlo,UAI Urquiza,0,2
,13,Ituzaingó,Excursionistas,1,3
,13,Deportivo Armenio,San Martín Burzaco,1,1
,13,Comunicaciones,Sportivo Dock Sud,2,0
,13,Deportivo Laferrere,Liniers,0,0
,13,Talleres RE,Real Pilar,0,0
,13,Arsenal de Sarandí,Villa Dalmine,1,1
,14,Villa Dalmine,Excursionistas,1,0
,14,UAI Urquiza,Arsenal de Sarandí,0,1
,14,Real Pilar,Argentino Merlo,1,1
,14,Villa San Carlos,Deportivo Laferrere,0,2
,14,Sportivo Italiano,Deportivo Armenio,1,0
,14,Camioneros,Flandria,0,0
,14,Sportivo Dock Sud,Defensores Unidos,2,0
,14,San Martín Burzaco,Brown de Adrogué,0,0
,14,Deportivo Merlo,Argentino Quilmes,1,0
,14,Liniers,Talleres RE,0,1
,14,Comunicaciones,Ituzaingó,3,2
,15,Excursionistas,UAI Urquiza,0,0
,15,Brown de Adrogué,Sportivo Italiano,0,0
,15,Defensores Unidos,Comunicaciones,1,1
,15,Flandria,Deportivo Merlo,2,0
,15,Deportivo Armenio,Camioneros,1,3
,15,Deportivo Laferrere,San Martín Burzaco,0,2
,15,Talleres RE,Villa San Carlos,1,0
,15,Argentino Merlo,Liniers,0,1
,15,Ituzaingó,Villa Dalmine,0,2
,15,Argentino Quilmes,Sportivo Dock Sud,0,2
,15,Arsenal de Sarandí,Real Pilar,2,1
,16,Camioneros,Brown de Adrogué,1,0
,16,UAI Urquiza,Villa Dalmine,0,0
,16,Real Pilar,Excursionistas,0,1
,16,Liniers,Arsenal de Sarandí,0,0
,16,Villa San Carlos,Argentino Merlo,0,0
,16,San Martín Burzaco,Talleres RE,0,2
,16,Sportivo Dock Sud,Flandria,0,0
,16,Defensores Unidos,Ituzaingó,2,1
,16,Deportivo Merlo,Deportivo Armenio,3,2
,16,Comunicaciones,Argentino Quilmes,0,0
,16,Sportivo Italiano,Deportivo Laferrere,1,1
,17,Arsenal de Sarandí,Villa San Carlos,2,2
,17,Brown de Adrogué,Deportivo Merlo,0,1
,17,Ituzaingó,UAI Urquiza,1,1
,17,Deportivo Laferrere,Camioneros,0,2
,17,Excursionistas,Liniers,4,1
,17,Argentino Quilmes,Defensores Unidos,1,0
,17,Flandria,Comunicaciones,1,2
,17,Deportivo Armenio,Sportivo Dock Sud,1,1
,17,Talleres RE,Sportivo Italiano,0,1
,17,Argentino Merlo,San Martín Burzaco,0,1
,17,Villa Dalmine,Real Pilar,1,1
,18,San Martín Burzaco,Arsenal de Sarandí,2,0
,18,Argentino Quilmes,Ituzaingó,2,0
,18,Deportivo Merlo,Deportivo Laferrere,2,1
,18,Sportivo Dock Sud,Brown de Adrogué,0,1
,18,Comunicaciones,Deportivo Armenio,0,1
,18,Real Pilar,UAI Urquiza,2,1
,18,Liniers,Villa Dalmine,1,0
,18,Sportivo Italiano,Argentino Merlo,0,2
,18,Camioneros,Talleres RE,1,4
,18,Defensores Unidos,Flandria,1,0
,18,Villa San Carlos,Excursionistas,0,2
,19,Ituzaingó,Real Pilar,2,0
,19,Talleres RE,Deportivo Merlo,2,0
,19,Arsenal de Sarandí,Sportivo Italiano,1,3
,19,Brown de Adrogué,Comunicaciones,1,2
,19,Flandria,Argentino Quilmes,0,1
,19,Deportivo Armenio,Defensores Unidos,3,0
,19,Argentino Merlo,Camioneros,0,0
,19,Excursionistas,San Martín Burzaco,2,0
,19,Villa Dalmine,Villa San Carlos,0,0
,19,Deportivo Laferrere,Sportivo Dock Sud,2,1
,19,UAI Urquiza,Liniers,2,1
,20,San Martín Burzaco,Villa Dalmine,0,2
,20,Villa San Carlos,UAI Urquiza,0,0
,20,Camioneros,Arsenal de Sarandí,1,2
,20,Sportivo Italiano,Excursionistas,0,1
,20,Sportivo Dock Sud,Talleres RE,1,1
,20,Comunicaciones,Deportivo Laferrere,3,3
,20,Defensores Unidos,Brown de Adrogué,1,1
,20,Flandria,Ituzaingó,3,2
,20,Argentino Quilmes,Deportivo Armenio,1,1
,20,Liniers,Real Pilar,0,1
,20,Deportivo Merlo,Argentino Merlo,2,2
,21,Ituzaingó,Liniers,1,1
,21,Deportivo Laferrere,Defensores Unidos,1,0
,21,UAI Urquiza,San Martín Burzaco,0,0
,21,Brown de Adrogué,Argentino Quilmes,2,4
,21,Deportivo Armenio,Flandria,2,1
,21,Excursionistas,Camioneros,1,1
,21,Villa Dalmine,Sportivo Italiano,2,1
,21,Real Pilar,Villa San Carlos,1,1
,21,Talleres RE,Comunicaciones,0,0
,21,Argentino Merlo,Sportivo Dock Sud,3,1
,21,Arsenal de Sarandí,Deportivo Merlo,4,2
,22,Real Pilar,San Martín Burzaco,0,0
,22,Villa Dalmine,Camioneros,0,1
,22,Excursionistas,Deportivo Merlo,5,0
,22,Talleres RE,Defensores Unidos,1,0
,22,Brown de Adrogué,Flandria,2,0
,22,Deportivo Armenio,Ituzaingó,2,1
,22,Liniers,Villa San Carlos,1,1
,22,UAI Urquiza,Sportivo Italiano,0,0
,22,Deportivo Laferrere,Argentino Quilmes,1,1
,22,Arsenal de Sarandí,Sportivo Dock Sud,0,0
,22,Argentino Merlo,Comunicaciones,3,2
