equipo,pais,elo
Flamengo,Brasil,2018
Palmeiras,Brasil,1926
Fluminense,Brasil,1727
Cruzeiro,Brasil,1722
Independiente Rivadavia,Argentina,1708
Liga de Quito,Ecuador,1684
Estudiantes de la Plata,Argentina,1662
Mirassol,Brasil,1655
Independiente del Valle,Ecuador,1651
Rosario Central,Argentina,1628
Corinthians,Brasil,1609
Cerro Porteño,Paraguay,1567
Universidad Católica,Chile,1563
Platense,Argentina,1492
Coquimbo Unido,Chile,1451
Deportes Tolima,Colombia,1405
