fecha,jornada,equipo_local,equipo_visitante,goles_local,goles_visitante
,9,Tristan Suárez,Atlético Rafaela,0,0
,9,San Martín,Atlanta,1,2
,10,Los Andes,San Telmo,0,0
,10,Midland,San Martín,0,1
,10,All Boys,Acassuso,0,0
,10,Morón,Colón,2,0
,10,Godoy Cruz,San Miguel,0,0
,10,Quilmes,Chicago,0,0
,10,Bolivar,Dep. Madryn,1,0
,10,Patronato,Maipú,0,0
,10,Racing (Cba),Defensores,3,0
,10,Alte. Brown,Central Norte,1,0
,10,CA Mitre,Ferro,0,1
,10,Estudiantes,Chaco For Ever,0,0
,10,Gimnasia (J),Almagro,6,1
,10,Colegiales,Temperley,1,1
,10,Gimnasia y Tiro,Güemes,1,1
,10,San Martín (T),Tristan Suárez,0,0
,10,Atlético Rafaela,Agropecuario,4,1
,10,Atlanta,Chacarita,1,0
,11,San Miguel,Los Andes,0,2
,11,San Telmo,All Boys,1,0
,11,Temperley,Patronato,0,0
,11,San Martín,Quilmes,1,0
,11,Atlético Rafaela,Gimnasia (J),0,0
,11,Morón,Racing (Cba),2,1
,11,Tristan Suárez,Gimnasia y Tiro,2,1
,11,Chicago,Colegiales,0,0
,11,Acassuso,Estudiantes,0,1
,11,Chacarita,Midland,1,0
,11,Dep. Madryn,Defensores,2,1
,11,Agropecuario,San Martín (T),2,0
,11,Chaco For Ever,CA Mitre,1,1
,11,Central Norte,Bolivar,0,1
,11,Güemes,Atlanta,0,2
,11,Maipú,Almagro,1,0
,11,Colón,Godoy Cruz,0,0
,11,Ferro,Alte. Brown,0,1
,12,All Boys,San Miguel,1,1
,12,Los Andes,Colón,1,1
,12,San Martín (T),Atlético Rafaela,2,1
,12,Defensores,Central Norte,1,1
,12,Estudiantes,San Telmo,1,1
,12,Colegiales,San Martín,2,0
,12,Atlanta,Tristan Suárez,3,1
,12,CA Mitre,Acassuso,2,0
,12,Almagro,Temperley,1,1
,12,Gimnasia (J),Maipú,1,1
,12,Alte. Brown,Chaco For Ever,1,0
,12,Patronato,Chicago,2,1
,12,Bolivar,Ferro,2,4
,12,Midland,Güemes,2,1
,12,Godoy Cruz,Morón,2,2
,12,Racing (Cba),Dep. Madryn,2,2
,12,Quilmes,Chacarita,0,0
,12,Gimnasia y Tiro,Agropecuario,2,3
,13,Morón,Los Andes,0,0
,13,San Telmo,CA Mitre,0,0
,13,San Miguel,Estudiantes,1,1
,13,Tristan Suárez,Midland,1,3
,13,Temperley,Maipú,0,5
,13,San Martín,Patronato,1,1
,13,Atlético Rafaela,Gimnasia y Tiro,1,1
,13,Acassuso,Alte. Brown,0,0
,13,Godoy Cruz,Racing (Cba),2,1
,13,Chaco For Ever,Bolivar,0,1
,13,Central Norte,Dep. Madryn,2,3
,13,Colón,All Boys,3,2
,13,Chacarita,Colegiales,2,0
,13,Güemes,Quilmes,2,1
,13,Agropecuario,Atlanta,0,0
,13,Ferro,Defensores,2,1
,13,Chicago,Almagro,1,2
,13,San Martín (T),Gimnasia (J),2,0
,14,Racing (Cba),Central Norte,1,2
,14,Atlanta,Atlético Rafaela,2,0
