equipo,puntos_historicos,partidos_historicos
Alianza FC,91,78
América de Cali,130,78
Atlético Bucaramanga,132,78
Atlético Nacional,128,78
Boyacá Chicó,69,78
Cúcuta Deportivo,0,0
Deportes Tolima,146,78
Deportivo Cali,83,78
Deportivo Pasto,97,78
Deportivo Pereira,107,78
Fortaleza FC,106,78
Independiente Medellín,130,78
Independiente Santa Fe,135,78
Internacional de Bogotá,79,78
Jaguares de Córdoba,0,0
Junior FC,132,78
Llaneros FC,45,40
Millonarios,130,78
Once Caldas,120,78
Águilas Doradas,94,78
