ronda,llave,equipo_ida_local,equipo_vuelta_local,goles_ida_local,goles_ida_visitante,goles_vuelta_local,goles_vuelta_visitante,ganador
octavos,1,Universidad Católica,Estudiantes de la Plata,,,,,
octavos,2,Rosario Central,Corinthians,,,,,
octavos,3,Cruzeiro,Flamengo,,,,,
octavos,4,Independiente del Valle,Deportes Tolima,,,,,
octavos,5,Mirassol,Liga de Quito,,,,,
octavos,6,Palmeiras,Cerro Porteño,,,,,
octavos,7,Platense,Coquimbo Unido,,,,,
octavos,8,Fluminense,Independiente Rivadavia,,,,,
